date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,鳴門,1,2-3-1,193.3,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,193.3,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,3-2-1,170.2,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,170.2,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-3-4,14.8,0,20.633333333333333,0.15666666666666665,30.0,35.0,30.0,30.0,2.0,14.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-3-5,9.6,0,20.633333333333333,0.17,30.0,35.0,30.0,30.0,2.0,9.6,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-3-6,9.9,0,19.453333333333333,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,9.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-4-2,37.5,0,17.776666666666667,0.16,30.0,35.0,30.0,30.0,2.0,37.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-4-3,33.6,0,20.633333333333333,0.15666666666666665,30.0,35.0,30.0,30.0,2.0,33.6,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-4-5,40.3,0,22.22,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,40.3,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-4-6,34.2,0,21.04,0.17,30.0,35.0,30.0,30.0,2.0,34.2,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-5-2,24.8,0,17.776666666666667,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,24.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,4-5-1,194.5,0,22.22,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,194.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-5-3,25.1,0,20.633333333333333,0.17,30.0,35.0,30.0,30.0,2.0,25.1,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-5-4,50.8,0,22.22,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,50.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-5-6,33.8,0,21.04,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,33.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-6-2,35.2,0,16.596666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,35.2,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-6-3,30.3,0,19.453333333333333,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,30.3,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-6-4,63.0,0,21.04,0.17,30.0,35.0,30.0,30.0,2.0,63.0,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-6-5,54.2,1,21.04,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,54.2,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,1-2-3,14.7,0,41.60333333333333,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,14.7,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,2-1-3,51.9,0,41.60333333333333,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,51.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,4-1-2,117.7,0,40.833333333333336,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,117.7,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,5-1-2,130.9,0,35.833333333333336,0.17,30.0,35.0,30.0,30.0,2.0,130.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,6-1-2,48.6,0,47.25333333333333,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,48.6,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,1-2-4,9.3,0,40.833333333333336,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,9.3,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,2-1-4,32.1,0,40.833333333333336,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,32.1,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,6-1-3,194.5,0,54.69,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,194.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,1-2-5,18.9,0,35.833333333333336,0.17,30.0,35.0,30.0,30.0,2.0,18.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,2-1-5,41.5,0,35.833333333333336,0.17,30.0,35.0,30.0,30.0,2.0,41.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,4-1-5,151.0,0,42.5,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,151.0,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,6-1-4,97.5,0,53.919999999999995,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,97.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,1-2-6,6.8,0,47.25333333333333,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,6.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,2-1-6,19.6,0,47.25333333333333,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,19.6,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,4-1-6,84.0,0,53.919999999999995,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,84.0,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,2,5-1-6,114.9,0,48.919999999999995,0.18000000000000002,30.0,35.0,30.0,30.0,2.0,114.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
